Brand,Car,Battery,Range,Efficiency,kWh_per_100km,FastCharge_kmh,Top_speed_kmh,Accel_0_100_s,Price_EUR,Range_per_kWh_km,Price_per_kWh_EUR,Price_per_kmRange_EUR,Link
Opel,Opel Zafira-e Life M 50 kWh,46.3,185,250,25.0,290.0,130,12.1,63250.0,3.9956803455723544,1366.0907127429807,341.8918918918919,https://ev-database.org/car/1346/Opel-Zafira-e-Life-M-50-kWh
Toyota,Toyota PROACE Shuttle L 75 kWh,68.0,260,262,26.2,280.0,130,13.1,,3.823529411764706,,,https://ev-database.org/car/1612/Toyota-PROACE-Shuttle-L-75-kWh
Citroen,Citroen e-Jumpy Combi XL 75 kWh,68.0,260,262,26.2,280.0,130,13.3,58730.0,3.823529411764706,863.6764705882352,225.8846153846154,https://ev-database.org/car/1598/Citroen-e-Jumpy-Combi-XL-75-kWh
Porsche,Porsche Taycan 4S Plus Sport Turismo,83.7,430,195,19.5,1060.0,250,4.0,120081.0,5.137395459976105,1434.6594982078852,279.2581395348837,https://ev-database.org/car/1624/Porsche-Taycan-4S-Plus-Sport-Turismo
Opel,Opel Combo-e Life XL 50 kWh,46.3,200,232,23.2,320.0,135,11.7,44750.0,4.319654427645789,966.5226781857452,223.75,https://ev-database.org/car/1545/Opel-Combo-e-Life-XL-50-kWh
Toyota,Toyota PROACE Shuttle M 50 kWh,46.3,185,250,25.0,290.0,130,12.1,,3.9956803455723544,,,https://ev-database.org/car/1609/Toyota-PROACE-Shuttle-M-50-kWh
Porsche,Porsche Taycan 4S Sport Turismo,71.0,370,192,19.2,910.0,250,4.0,114559.0,5.211267605633803,1613.5070422535211,309.6189189189189,https://ev-database.org/car/1623/Porsche-Taycan-4S-Sport-Turismo
Peugeot,Peugeot e-Expert Combi Standard 50 kWh,46.3,185,250,25.0,290.0,130,13.1,51940.0,3.9956803455723544,1121.8142548596113,280.7567567567568,https://ev-database.org/car/1605/Peugeot-e-Expert-Combi-Standard-50-kWh
Mercedes,Mercedes eVito Tourer Extra-Long 60 kWh,60.0,205,293,29.3,300.0,160,12.0,61571.0,3.4166666666666665,1026.1833333333334,300.34634146341466,https://ev-database.org/car/1618/Mercedes-eVito-Tourer-Extra-Long-60-kWh
Peugeot,Peugeot e-Traveller Long 50 kWh,46.3,185,250,25.0,290.0,130,13.1,54430.0,3.9956803455723544,1175.5939524838013,294.2162162162162,https://ev-database.org/car/1352/Peugeot-e-Traveller-Long-50-kWh
Fiat,Fiat E-Ulysse L2 75 kWh,68.0,265,257,25.7,290.0,130,13.3,61990.0,3.8970588235294117,911.6176470588235,233.9245283018868,https://ev-database.org/car/1722/Fiat-E-Ulysse-L2-75-kWh
Porsche,Porsche Taycan Turbo Sport Turismo,83.7,405,207,20.7,1000.0,260,3.2,165372.0,4.838709677419355,1975.7706093189963,408.3259259259259,https://ev-database.org/car/1625/Porsche-Taycan-Turbo-Sport-Turismo
Mercedes,Mercedes EQV 250 Extra-Long,60.0,210,286,28.6,200.0,160,12.0,68949.0,3.5,1149.15,328.3285714285714,https://ev-database.org/car/1543/Mercedes-EQV-250-Extra-Long
Opel,Opel Vivaro-e Combi L 75 kWh,68.0,260,262,26.2,280.0,130,13.3,57775.0,3.823529411764706,849.6323529411765,222.21153846153845,https://ev-database.org/car/1603/Opel-Vivaro-e-Combi-L-75-kWh
Opel,Opel Vivaro-e Combi M 50 kWh,46.3,185,250,25.0,290.0,130,12.1,50992.0,3.9956803455723544,1101.3390928725703,275.63243243243244,https://ev-database.org/car/1600/Opel-Vivaro-e-Combi-M-50-kWh
Opel,Opel Zafira-e Life L 50 kWh,46.3,180,257,25.7,290.0,130,12.1,64075.0,3.8876889848812097,1383.9092872570195,355.97222222222223,https://ev-database.org/car/1347/Opel-Zafira-e-Life-L-50-kWh
Peugeot,Peugeot e-Expert Combi Long 50 kWh,46.3,185,250,25.0,290.0,130,13.1,52730.0,3.9956803455723544,1138.8768898488122,285.02702702702703,https://ev-database.org/car/1606/Peugeot-e-Expert-Combi-Long-50-kWh
Citroen,Citroen e-Jumpy Combi XL 50 kWh,46.3,180,257,25.7,290.0,130,12.1,52730.0,3.8876889848812097,1138.8768898488122,292.94444444444446,https://ev-database.org/car/1596/Citroen-e-Jumpy-Combi-XL-50-kWh
Fiat,Fiat E-Ulysse L2 50 kWh,46.3,185,250,25.0,290.0,130,12.1,55990.0,3.9956803455723544,1209.2872570194386,302.64864864864865,https://ev-database.org/car/1721/Fiat-E-Ulysse-L2-50-kWh
Opel,Opel Vivaro-e Combi L 50 kWh,46.3,180,257,25.7,290.0,130,12.1,51825.0,3.8876889848812097,1119.330453563715,287.9166666666667,https://ev-database.org/car/1601/Opel-Vivaro-e-Combi-L-50-kWh
Opel,Opel Zafira-e Life M 75 kWh,68.0,265,257,25.7,290.0,130,13.3,69250.0,3.8970588235294117,1018.3823529411765,261.3207547169811,https://ev-database.org/car/1348/Opel-Zafira-e-Life-M-75-kWh
Fiat,Fiat E-Ulysse L3 50 kWh,46.3,180,257,25.7,290.0,130,12.1,56990.0,3.8876889848812097,1230.8855291576674,316.6111111111111,https://ev-database.org/car/1723/Fiat-E-Ulysse-L3-50-kWh
